Year,Quarter,Type of application,Institution type group,Geographical region,Nationality, Applications 
2017,2017 Q2,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Malawi,3
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia South East,Malaysia,53
2017,2017 Q2,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Mauritius,4
2017,2017 Q2,Extensions of stay,Higher Education institution,America Central and South,Mexico,9
2017,2017 Q2,Extensions of stay,Higher Education institution,Africa North,Morocco,3
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia South East,Myanmar (Burma),2
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia South,Nepal,16
2017,2017 Q2,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Nigeria,162
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia East,North Korea,1
2017,2017 Q2,Extensions of stay,Higher Education institution,Middle East,Oman,5
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia South,Pakistan,94
2017,2017 Q2,Extensions of stay,Higher Education institution,America Central and South,Peru,3
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia South East,Philippines,3
2017,2017 Q2,Extensions of stay,Higher Education institution,Europe Other,Russia,19
2017,2017 Q2,Extensions of stay,Higher Education institution,Middle East,Saudi Arabia,114
2017,2017 Q2,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Senegal,1
2017,2017 Q2,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Sierra Leone,2
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia South East,Singapore,12
2017,2017 Q2,Extensions of stay,Higher Education institution,Africa Sub-Saharan,South Africa,1
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia East,South Korea,18
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia South,Sri Lanka,16
2017,2017 Q2,Extensions of stay,Higher Education institution,Africa North,Sudan,3
2017,2017 Q2,Extensions of stay,Higher Education institution,Middle East,Syria,8
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia East,Taiwan,22
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia South East,Thailand,18
2017,2017 Q2,Extensions of stay,Higher Education institution,America Central and South,Trinidad and Tobago,4
2017,2017 Q2,Extensions of stay,Higher Education institution,Africa North,Tunisia,1
2017,2017 Q2,Extensions of stay,Higher Education institution,Europe Other,Turkey,18
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia Central,Turkmenistan,1
2017,2017 Q2,Extensions of stay,Higher Education institution,Europe Other,Ukraine,4
2017,2017 Q2,Extensions of stay,Higher Education institution,America North,United States,47
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia Central,Uzbekistan,1
2017,2017 Q2,Extensions of stay,Higher Education institution,America Central and South,Venezuela,1
2017,2017 Q2,Extensions of stay,Higher Education institution,Asia South East,Vietnam,20
2017,2017 Q2,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Zambia,1
2017,2017 Q2,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Zimbabwe,4
2017,2017 Q2,Visa,All other institutions,Europe Other,Albania,1
2017,2017 Q2,Visa,All other institutions,Africa North,Algeria,31
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Angola,4
2017,2017 Q2,Visa,All other institutions,America Central and South,Antigua and Barbuda,1
2017,2017 Q2,Visa,All other institutions,Oceania,Australia,17
2017,2017 Q2,Visa,All other institutions,Europe Other,Azerbaijan,2
2017,2017 Q2,Visa,All other institutions,Middle East,Bahrain,4
2017,2017 Q2,Visa,All other institutions,Asia South,Bangladesh,3
2017,2017 Q2,Visa,All other institutions,Europe Other,Belarus,2
2017,2017 Q2,Visa,All other institutions,America Central and South,Belize,1
2017,2017 Q2,Visa,All other institutions,Europe Other,Bosnia and Herzegovina,2
2017,2017 Q2,Visa,All other institutions,America Central and South,Brazil,9
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Cameroon,3
2017,2017 Q2,Visa,All other institutions,America North,Canada,25
2017,2017 Q2,Visa,All other institutions,America Central and South,Chile,2
2017,2017 Q2,Visa,All other institutions,Asia East,China,1693
2017,2017 Q2,Visa,All other institutions,America Central and South,Colombia,3
2017,2017 Q2,Visa,All other institutions,America Central and South,Dominica,4
2017,2017 Q2,Visa,All other institutions,America Central and South,Ecuador,2
2017,2017 Q2,Visa,All other institutions,Africa North,Egypt,4
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Equatorial Guinea,4
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Eswatini,1
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Ethiopia,4
2017,2017 Q2,Visa,All other institutions,Europe Other,Georgia,3
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Ghana,5
2017,2017 Q2,Visa,All other institutions,America Central and South,Grenada,1
2017,2017 Q2,Visa,All other institutions,Asia East,Hong Kong,140
2017,2017 Q2,Visa,All other institutions,Asia South,India,54
2017,2017 Q2,Visa,All other institutions,Asia South East,Indonesia,14
2017,2017 Q2,Visa,All other institutions,Middle East,Iran,23
2017,2017 Q2,Visa,All other institutions,Middle East,Iraq,1
2017,2017 Q2,Visa,All other institutions,Middle East,Israel,3
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Ivory Coast,1
2017,2017 Q2,Visa,All other institutions,Asia East,Japan,43
2017,2017 Q2,Visa,All other institutions,Middle East,Jordan,4
2017,2017 Q2,Visa,All other institutions,Asia Central,Kazakhstan,27
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Kenya,4
2017,2017 Q2,Visa,All other institutions,Middle East,Kuwait,12
2017,2017 Q2,Visa,All other institutions,Asia Central,Kyrgyzstan,1
2017,2017 Q2,Visa,All other institutions,Asia South East,Laos,2
2017,2017 Q2,Visa,All other institutions,Middle East,Lebanon,2
2017,2017 Q2,Visa,All other institutions,Africa North,Libya,10
2017,2017 Q2,Visa,All other institutions,Asia East,Macau,4
2017,2017 Q2,Visa,All other institutions,Asia South East,Malaysia,16
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Mali,1
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Mauritius,2
2017,2017 Q2,Visa,All other institutions,America Central and South,Mexico,35
2017,2017 Q2,Visa,All other institutions,Europe Other,Montenegro,13
2017,2017 Q2,Visa,All other institutions,Africa North,Morocco,8
2017,2017 Q2,Visa,All other institutions,Asia South East,Myanmar (Burma),4
2017,2017 Q2,Visa,All other institutions,Oceania,New Zealand,3
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Nigeria,46
2017,2017 Q2,Visa,All other institutions,Asia East,North Korea,1
2017,2017 Q2,Visa,All other institutions,Middle East,Occupied Palestinian Territories,5
2017,2017 Q2,Visa,All other institutions,Middle East,Oman,2
2017,2017 Q2,Visa,All other institutions,Asia South,Pakistan,21
2017,2017 Q2,Visa,All other institutions,America Central and South,Panama,1
2017,2017 Q2,Visa,All other institutions,America Central and South,Peru,4
2017,2017 Q2,Visa,All other institutions,Asia South East,Philippines,4
2017,2017 Q2,Visa,All other institutions,Middle East,Qatar,5
2017,2017 Q2,Visa,All other institutions,Europe Other,Russia,114
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Rwanda,2
2017,2017 Q2,Visa,All other institutions,Middle East,Saudi Arabia,31
2017,2017 Q2,Visa,All other institutions,Europe Other,Serbia,1
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Sierra Leone,2
2017,2017 Q2,Visa,All other institutions,Asia South East,Singapore,18
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,South Africa,6
2017,2017 Q2,Visa,All other institutions,Asia East,South Korea,52
2017,2017 Q2,Visa,All other institutions,Asia South,Sri Lanka,2
2017,2017 Q2,Visa,All other institutions,America Central and South,St Kitts and Nevis,1
2017,2017 Q2,Visa,All other institutions,Africa North,Sudan,2
2017,2017 Q2,Visa,All other institutions,Middle East,Syria,1
2017,2017 Q2,Visa,All other institutions,Asia East,Taiwan,29
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Tanzania,3
2017,2017 Q2,Visa,All other institutions,Asia South East,Thailand,57
2017,2017 Q2,Visa,All other institutions,America Central and South,Trinidad and Tobago,2
2017,2017 Q2,Visa,All other institutions,Africa North,Tunisia,1
2017,2017 Q2,Visa,All other institutions,Europe Other,Turkey,21
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Uganda,5
2017,2017 Q2,Visa,All other institutions,Europe Other,Ukraine,23
2017,2017 Q2,Visa,All other institutions,Middle East,United Arab Emirates,6
2017,2017 Q2,Visa,All other institutions,America North,United States,1103
2017,2017 Q2,Visa,All other institutions,Asia South East,Vietnam,19
2017,2017 Q2,Visa,All other institutions,Middle East,Yemen,1
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Zambia,2
2017,2017 Q2,Visa,All other institutions,Africa Sub-Saharan,Zimbabwe,4
2017,2017 Q2,Extensions of stay,All other institutions,Africa North,Algeria,5
2017,2017 Q2,Extensions of stay,All other institutions,Africa Sub-Saharan,Angola,1
2017,2017 Q2,Extensions of stay,All other institutions,Oceania,Australia,1
2017,2017 Q2,Extensions of stay,All other institutions,Europe Other,Belarus,1
2017,2017 Q2,Extensions of stay,All other institutions,Africa Sub-Saharan,Cameroon,1
2017,2017 Q2,Extensions of stay,All other institutions,America North,Canada,4
2017,2017 Q2,Extensions of stay,All other institutions,Asia East,China,45
2017,2017 Q2,Extensions of stay,All other institutions,Africa Sub-Saharan,Ghana,1
2017,2017 Q2,Extensions of stay,All other institutions,Asia East,Hong Kong,1
2017,2017 Q2,Extensions of stay,All other institutions,Asia South,India,4
2017,2017 Q2,Extensions of stay,All other institutions,Middle East,Iran,3
2017,2017 Q2,Extensions of stay,All other institutions,Middle East,Iraq,1
2017,2017 Q2,Extensions of stay,All other institutions,Asia East,Japan,2
2017,2017 Q2,Extensions of stay,All other institutions,Asia Central,Kazakhstan,2
2017,2017 Q2,Extensions of stay,All other institutions,Africa Sub-Saharan,Kenya,1
2017,2017 Q2,Extensions of stay,All other institutions,Middle East,Kuwait,3
2017,2017 Q2,Extensions of stay,All other institutions,Africa North,Libya,1
2017,2017 Q2,Extensions of stay,All other institutions,Asia South East,Malaysia,1
2017,2017 Q2,Extensions of stay,All other institutions,Africa North,Mauritania,1
2017,2017 Q2,Extensions of stay,All other institutions,America Central and South,Mexico,4
2017,2017 Q2,Extensions of stay,All other institutions,Asia East,Mongolia,1
2017,2017 Q2,Extensions of stay,All other institutions,Africa North,Morocco,6
2017,2017 Q2,Extensions of stay,All other institutions,Oceania,New Zealand,1
2017,2017 Q2,Extensions of stay,All other institutions,Africa Sub-Saharan,Nigeria,9
2017,2017 Q2,Extensions of stay,All other institutions,Other,Other and unknown,1
2017,2017 Q2,Extensions of stay,All other institutions,America Central and South,Peru,1
2017,2017 Q2,Extensions of stay,All other institutions,Europe Other,Russia,5
2017,2017 Q2,Extensions of stay,All other institutions,Middle East,Saudi Arabia,1
2017,2017 Q2,Extensions of stay,All other institutions,Africa Sub-Saharan,Senegal,1
2017,2017 Q2,Extensions of stay,All other institutions,Asia East,South Korea,3
2017,2017 Q2,Extensions of stay,All other institutions,Asia South,Sri Lanka,1
2017,2017 Q2,Extensions of stay,All other institutions,America Central and South,St Kitts and Nevis,4
2017,2017 Q2,Extensions of stay,All other institutions,Middle East,Syria,1
2017,2017 Q2,Extensions of stay,All other institutions,Asia South East,Thailand,2
2017,2017 Q2,Extensions of stay,All other institutions,Europe Other,Ukraine,1
2017,2017 Q2,Extensions of stay,All other institutions,America North,United States,8
2017,2017 Q2,Extensions of stay,All other institutions,America Central and South,Venezuela,1
2017,2017 Q2,Extensions of stay,All other institutions,Asia South East,Vietnam,3
2017,2017 Q3,Visa,Higher Education institution,Asia Central,Afghanistan,52
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Albania,118
2017,2017 Q3,Visa,Higher Education institution,Africa North,Algeria,162
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Andorra,4
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Angola,126
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Antigua and Barbuda,14
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Argentina,115
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Armenia,46
2017,2017 Q3,Visa,Higher Education institution,Oceania,Australia,703
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Azerbaijan,223
2017,2017 Q3,Visa,Higher Education institution,America Central and South,"Bahamas, The",49
2017,2017 Q3,Visa,Higher Education institution,Middle East,Bahrain,638
2017,2017 Q3,Visa,Higher Education institution,Asia South,Bangladesh,828
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Barbados,76
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Belarus,70
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Belize,23
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Benin,6
2017,2017 Q3,Visa,Higher Education institution,America North,Bermuda (British),1
2017,2017 Q3,Visa,Higher Education institution,Asia South,Bhutan,16
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Bolivia,32
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Bosnia and Herzegovina,23
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Botswana,123
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Brazil,604
2017,2017 Q3,Visa,Higher Education institution,Other,British overseas citizens,130
2017,2017 Q3,Visa,Higher Education institution,Asia South East,Brunei,309
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Burkina Faso,6
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Burundi,6
2017,2017 Q3,Visa,Higher Education institution,Asia South East,Cambodia,68
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Cameroon,138
2017,2017 Q3,Visa,Higher Education institution,America North,Canada,2769
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Cape Verde,2
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Cayman Islands (British),2
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Chad,5
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Chile,334
2017,2017 Q3,Visa,Higher Education institution,Asia East,China,52605
2017,2017 Q3,Visa,Higher Education institution,Other,Christmas Island (Australian),1
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Colombia,510
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Comoros,1
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Congo,12
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Congo (Democratic Republic),18
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Costa Rica,45
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Cuba,16
2017,2017 Q3,Visa,Higher Education institution,EU Other,Cyprus,3
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Cyprus (Northern part of),1
2017,2017 Q3,Visa,Higher Education institution,EU 8,Czechia,1
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Djibouti,8
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Dominica,40
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Dominican Republic,95
2017,2017 Q3,Visa,Higher Education institution,Asia South East,East Timor,5
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Ecuador,249
2017,2017 Q3,Visa,Higher Education institution,Africa North,Egypt,1098
2017,2017 Q3,Visa,Higher Education institution,America Central and South,El Salvador,21
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Equatorial Guinea,1
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Eritrea,8
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Eswatini,13
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Ethiopia,60
2017,2017 Q3,Visa,Higher Education institution,Oceania,Fiji,10
2017,2017 Q3,Visa,Higher Education institution,EU 14,France,1
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Gabon,4
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,"Gambia, The",49
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Georgia,111
2017,2017 Q3,Visa,Higher Education institution,EU 14,Germany,3
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Ghana,664
2017,2017 Q3,Visa,Higher Education institution,EU 14,Greece,1
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Grenada,16
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Guatemala,28
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Guinea,4
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Guinea-Bissau,1
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Guyana,45
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Haiti,3
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Honduras,20
2017,2017 Q3,Visa,Higher Education institution,Asia East,Hong Kong,3381
2017,2017 Q3,Visa,Higher Education institution,Asia South,India,10862
2017,2017 Q3,Visa,Higher Education institution,Asia South East,Indonesia,1494
2017,2017 Q3,Visa,Higher Education institution,Middle East,Iran,500
2017,2017 Q3,Visa,Higher Education institution,Middle East,Iraq,198
2017,2017 Q3,Visa,Higher Education institution,Middle East,Israel,104
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Ivory Coast,22
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Jamaica,66
2017,2017 Q3,Visa,Higher Education institution,Asia East,Japan,1507
2017,2017 Q3,Visa,Higher Education institution,Middle East,Jordan,814
2017,2017 Q3,Visa,Higher Education institution,Asia Central,Kazakhstan,605
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Kenya,806
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Kosovo,23
2017,2017 Q3,Visa,Higher Education institution,Middle East,Kuwait,1526
2017,2017 Q3,Visa,Higher Education institution,Asia Central,Kyrgyzstan,40
2017,2017 Q3,Visa,Higher Education institution,Asia South East,Laos,26
2017,2017 Q3,Visa,Higher Education institution,Middle East,Lebanon,542
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Lesotho,6
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Liberia,19
2017,2017 Q3,Visa,Higher Education institution,Africa North,Libya,94
2017,2017 Q3,Visa,Higher Education institution,Asia East,Macau,77
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Madagascar,18
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Malawi,106
2017,2017 Q3,Visa,Higher Education institution,Asia South East,Malaysia,6264
2017,2017 Q3,Visa,Higher Education institution,Asia South,Maldives,88
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Mali,8
2017,2017 Q3,Visa,Higher Education institution,Africa North,Mauritania,15
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Mauritius,403
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Mexico,845
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Moldova,9
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Monaco,1
2017,2017 Q3,Visa,Higher Education institution,Asia East,Mongolia,116
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Montenegro,30
2017,2017 Q3,Visa,Higher Education institution,Africa North,Morocco,290
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Mozambique,43
2017,2017 Q3,Visa,Higher Education institution,Asia South East,Myanmar (Burma),236
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Namibia,60
2017,2017 Q3,Visa,Higher Education institution,Asia South,Nepal,153
2017,2017 Q3,Visa,Higher Education institution,Oceania,New Zealand,172
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Nicaragua,7
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Niger,2
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Nigeria,2817
2017,2017 Q3,Visa,Higher Education institution,Oceania,Niue,1
2017,2017 Q3,Visa,Higher Education institution,Asia East,North Korea,11
2017,2017 Q3,Visa,Higher Education institution,Europe Other,North Macedonia,36
2017,2017 Q3,Visa,Higher Education institution,Middle East,Occupied Palestinian Territories,166
2017,2017 Q3,Visa,Higher Education institution,Middle East,Oman,893
2017,2017 Q3,Visa,Higher Education institution,Other,Other and unknown,2
2017,2017 Q3,Visa,Higher Education institution,Asia South,Pakistan,2098
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Panama,45
2017,2017 Q3,Visa,Higher Education institution,Oceania,Papua New Guinea,7
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Paraguay,36
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Peru,226
2017,2017 Q3,Visa,Higher Education institution,Asia South East,Philippines,265
2017,2017 Q3,Visa,Higher Education institution,EU 8,Poland,1
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Puerto Rico (United States),4
2017,2017 Q3,Visa,Higher Education institution,Middle East,Qatar,775
2017,2017 Q3,Visa,Higher Education institution,Other,Refugee,2
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Russia,1547
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Rwanda,45
2017,2017 Q3,Visa,Higher Education institution,Oceania,Samoa,1
2017,2017 Q3,Visa,Higher Education institution,Europe Other,San Marino,1
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Sao Tome and Principe,1
2017,2017 Q3,Visa,Higher Education institution,Middle East,Saudi Arabia,2226
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Senegal,23
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Serbia,108
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Seychelles,40
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Sierra Leone,47
2017,2017 Q3,Visa,Higher Education institution,Asia South East,Singapore,2149
2017,2017 Q3,Visa,Higher Education institution,EU 8,Slovakia,1
2017,2017 Q3,Visa,Higher Education institution,Oceania,Solomon Islands,1
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Somalia,21
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,South Africa,460
2017,2017 Q3,Visa,Higher Education institution,Asia East,South Korea,2589
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,South Sudan,31
2017,2017 Q3,Visa,Higher Education institution,Asia South,Sri Lanka,454
2017,2017 Q3,Visa,Higher Education institution,America Central and South,St Kitts and Nevis,41
2017,2017 Q3,Visa,Higher Education institution,America Central and South,St Lucia,26
2017,2017 Q3,Visa,Higher Education institution,America Central and South,St Vincent and the Grenadines,12
2017,2017 Q3,Visa,Higher Education institution,Africa North,Sudan,157
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Suriname,3
2017,2017 Q3,Visa,Higher Education institution,Middle East,Syria,151
2017,2017 Q3,Visa,Higher Education institution,Asia East,Taiwan,1846
2017,2017 Q3,Visa,Higher Education institution,Asia Central,Tajikistan,14
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Tanzania,238
2017,2017 Q3,Visa,Higher Education institution,Asia South East,Thailand,2490
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Togo,5
2017,2017 Q3,Visa,Higher Education institution,Oceania,Tonga,2
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Trinidad and Tobago,225
2017,2017 Q3,Visa,Higher Education institution,Africa North,Tunisia,74
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Turkey,1605
2017,2017 Q3,Visa,Higher Education institution,Asia Central,Turkmenistan,29
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Turks and Caicos Islands (British),1
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Uganda,278
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Ukraine,329
2017,2017 Q3,Visa,Higher Education institution,Middle East,United Arab Emirates,471
2017,2017 Q3,Visa,Higher Education institution,America North,United States,9028
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Uruguay,28
2017,2017 Q3,Visa,Higher Education institution,Asia Central,Uzbekistan,87
2017,2017 Q3,Visa,Higher Education institution,Oceania,Vanuatu,2
2017,2017 Q3,Visa,Higher Education institution,Europe Other,Vatican City,1
2017,2017 Q3,Visa,Higher Education institution,America Central and South,Venezuela,68
2017,2017 Q3,Visa,Higher Education institution,Asia South East,Vietnam,1409
2017,2017 Q3,Visa,Higher Education institution,Africa North,Western Sahara,1
2017,2017 Q3,Visa,Higher Education institution,Middle East,Yemen,50
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Zambia,148
2017,2017 Q3,Visa,Higher Education institution,Africa Sub-Saharan,Zimbabwe,305
2017,2017 Q3,Extensions of stay,Higher Education institution,Asia Central,Afghanistan,7
2017,2017 Q3,Extensions of stay,Higher Education institution,Europe Other,Albania,10
2017,2017 Q3,Extensions of stay,Higher Education institution,Africa North,Algeria,7
2017,2017 Q3,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Angola,16
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Antigua and Barbuda,1
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Argentina,2
2017,2017 Q3,Extensions of stay,Higher Education institution,Europe Other,Armenia,3
2017,2017 Q3,Extensions of stay,Higher Education institution,Oceania,Australia,41
2017,2017 Q3,Extensions of stay,Higher Education institution,Europe Other,Azerbaijan,3
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,"Bahamas, The",2
2017,2017 Q3,Extensions of stay,Higher Education institution,Middle East,Bahrain,9
2017,2017 Q3,Extensions of stay,Higher Education institution,Asia South,Bangladesh,179
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Barbados,1
2017,2017 Q3,Extensions of stay,Higher Education institution,Europe Other,Belarus,3
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Belize,1
2017,2017 Q3,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Benin,1
2017,2017 Q3,Extensions of stay,Higher Education institution,Asia South,Bhutan,1
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Bolivia,1
2017,2017 Q3,Extensions of stay,Higher Education institution,Europe Other,Bosnia and Herzegovina,2
2017,2017 Q3,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Botswana,10
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Brazil,36
2017,2017 Q3,Extensions of stay,Higher Education institution,Other,British overseas citizens,9
2017,2017 Q3,Extensions of stay,Higher Education institution,Asia South East,Brunei,13
2017,2017 Q3,Extensions of stay,Higher Education institution,Asia South East,Cambodia,7
2017,2017 Q3,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Cameroon,9
2017,2017 Q3,Extensions of stay,Higher Education institution,America North,Canada,110
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Chile,14
2017,2017 Q3,Extensions of stay,Higher Education institution,Asia East,China,2660
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Colombia,27
2017,2017 Q3,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Comoros,1
2017,2017 Q3,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Congo,3
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Costa Rica,1
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Cuba,1
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Dominica,1
2017,2017 Q3,Extensions of stay,Higher Education institution,America Central and South,Ecuador,5
